ID,CITY,STATE,INSTALL DATE
DLN,DILLON,MT,1/30/2006
GGW,GLASGOW,MT,4/14/2005
GPI,KALISPELL,MT,9/13/2006
GTF,GREAT FALLS,MT,3/26/2007
HLN,HELENA,MT,5/31/2007
HVR,HAVRE,MT,11/7/2005
JDN,JORDAN,MT,4/10/2006
LVM,LIVINGSTON,MT,10/20/2005
LWT,LEWISTOWN,MT,4/17/2006
MLS,MILES CITY,MT,10/27/2005
MSO,MISSOULA,MT,5/31/2007
OLF,WOLF POINT,MT,10/20/2005
AKH,GASTONIA,NC,11/20/2008
AVL,FLETCHER,NC,10/16/2008
BUY,BURLINGTON,NC,6/5/2007
CLT,CHARLOTTE,NC,6/2/2009
ECG,ELIZABETH CITY,NC,3/26/2007
EQY,MONROE,NC,5/20/2009
EWN,NEW BERN,NC,9/22/2006
FAY,FAYETTEVILLE,NC,6/2/2009
GSO,GREENSBORO,NC,6/30/2009
HKY,HICKORY,NC,11/6/2008
HSE,HATTERAS-FRISCO,NC,3/19/2007
IGX,CHAPEL HILL,NC,4/29/2005
ILM,WILMINGTON,NC,4/13/2007
INT,WINSTON-SALEM,NC,6/25/2009
LBT,LUMBERTON,NC,4/19/2007
MEB,MAXTON,NC,6/2/2009
MRH,BEAUFORT,NC,2/8/2007
RDU,RALEIGH/DURHAM,NC,7/8/2009
RWI,ROCKY MOUNT,NC,5/15/2007
BIS,BISMARCK,ND,5/1/2007
DIK,DICKINSON,ND,1/17/2007
FAR,FARGO,ND,9/26/2006
GFK,GRAND FORKS,ND,10/17/2002
HEI,HETTINGER,ND,10/4/2005
ISN,WILLISTON,ND,4/4/2007
JMS,JAMESTOWN,ND,1/10/2007
MOT,MINOT,ND,9/6/2006
N60,GARRISON,ND,10/13/2005
AIA,ALLIANCE,NE,9/29/2008
BBW,BROKEN BOW,NE,10/7/2005
BFF,SCOTTSBLUFF,NE,2/20/2003
CDR,CHADRON,NE,10/7/2008
FNB,FALLS CITY,NE,9/14/2006
GRI,GRAND ISLAND,NE,9/19/2006
HSI,HASTINGS,NE,11/7/2005
IML,IMPERIAL,NE,6/5/2007
LBF,NORTH PLATTE,NE,10/20/2005
LNK,LINCOLN,NE,3/26/2007
MCK,MCCOOK,NE,2/21/2007
ODX,ORD,NE,10/4/2005
OFK,NORFOLK,NE,10/20/2005
OMA,OMAHA,NE,9/13/2006
SNY,SIDNEY,NE,9/25/2008
TQE,TEKAMAH,NE,10/20/2005
VTN,VALENTINE,NE,9/13/2006
AFN,JAFFREY,NH,11/17/2005
BML,BERLIN,NH,10/27/2005
CON,CONCORD,NH,10/20/2005
DAW,ROCHESTER,NH,10/20/2005
HIE,WHITEFIELD,NH,10/20/2005
LEB,LEBANON,NH,1/10/2007
MHT,MANCHESTER,NH,5/13/2009
12N,ANDOVER,NJ,9/9/2009
ACY,ATLANTIC CITY,NJ,11/29/2006
CDW,CALDWELL,NJ,6/9/2009
EWR,NEWARK,NJ,7/8/2009
FWN,SUSSEX,NJ,9/24/2008
MIV,MILLVILLE,NJ,9/26/2006
SMQ,SOMERVILLE,NJ,10/7/2008
TEB,TETERBORO,NJ,5/19/2009
TTN,TRENTON,NJ,9/17/2008
VAY,MOUNT HOLLY,NJ,9/12/2006
ABQ,ALBUQUERQUE,NM,5/22/2007
CAO,CLAYTON,NM,5/3/2007
CNM,CARLSBAD,NM,5/10/2007
CQC,CLINES CORNER,NM,3/20/2007
DMN,DEMING,NM,9/27/2006
FMN,FARMINGTON,NM,4/4/2007
GNT,GRANTS,NM,3/6/2007
GUP,GALLUP,NM,5/15/2007
LVS,LAS VEGAS,NM,4/26/2007
ROW,ROSWELL,NM,4/16/2007
RTN,RATON,NM,3/14/2007
SAF,SANTA FE,NM,5/23/2007
TCC,TUCUMCARI,NM,4/5/2007
TCS,TRUTH OR CONSEQUENCES,NM,3/19/2007
DRA,MERCURY,NV,1/30/2006
EKO,ELKO,NV,6/28/2007
ELY,ELY,NV,12/16/2005
LAS,LAS VEGAS,NV,4/25/2007
LOL,LOVELOCK,NV,10/13/2005
P68,EUREKA,NV,11/7/2005
RNO,RENO,NV,5/15/2007
TPH,TONOPAH,NV,2/3/2006
VGT,LAS VEGAS,NV,4/26/2007
WMC,WINNEMUCCA,NV,11/17/2005
ALB,ALBANY,NY,9/8/2006
ART,WATERTOWN,NY,11/7/2005
BGM,BINGHAMTON,NY,2/13/2007
BUF,BUFFALO,NY,6/4/2009
DKK,DUNKIRK,NY,9/19/2008
DSV,DANSVILLE,NY,9/24/2008
ELM,ELMIRA,NY,4/25/2007
ELZ,WELLSVILLE,NY,11/7/2005
FOK,WESTHAMPTON BEACH,NY,2/11/2009
FRG,FARMINGDALE,NY,5/18/2009
FZY,FULTON,NY,10/27/2005
GFL,GLENS FALLS,NY,10/27/2005
HPN,WHITE PLAINS,NY,5/22/2009
HWV,SHIRLEY,NY,12/3/2008
IAG,NIAGARA FALLS,NY,5/20/2009
ISP,ISLIP,NY,1/0/1900
JFK,NEW YORK,NY,6/30/2009
LGA,NEW YORK,NY,7/6/2009
MGJ,MONTGOMERY,NY,7/15/2009
MSS,MASSENA,NY,11/17/2005
MTP,MONTAUK,NY,4/3/2009
NYC,NEW YORK,NY,9/18/2006
PBG,PLATTSBURGH,NY,11/7/2005
PEO,PENN YAN,NY,11/7/2005
POU,POUGHKEEPSIE,NY,9/12/2006
RME,ROME,NY,3/28/2007
ROC,ROCHESTER,NY,10/20/2008
SLK,SARANAC LAKE,NY,11/18/2005
SYR,SYRACUSE,NY,2/1/2007
AKR,AKRON,OH,10/3/2006
